produto_id,quantidade,nome
20815,100,ESCORT / VERONA 93/98 CRISTAL LE
20816,100,ESCORT / VERONA 93/38 AMBAR LD
20817,100,ESCORT / VERONA 93/98 AMBAR LE
20818,100,RANGER ...97 AMBAR LD
20819,100,RANGER ...97 AMBAR LE
20820,100,RANGER ...97 CRISTAL LD
20821,100,RANGER ...97 CRISTAL LE
20822,100,GM
20823,100,MONZA 88/90 AMBAR LE
20824,100,MONZA 88/90 AMBAR LD
20825,100,MONZA 88/90 CRISTAL LE
20826,100,MONZA 88/90 CRISTAL LD
20827,100,MONZA 91... AMBAR LD
20828,100,MONZA 91... AMBAR LE
20829,100,MONZA 91... CRISTAL/A LD
20830,100,MONZA 91... CRISTAL/A LE
20831,100,OMEGA CRISTAL LD
20832,100,OMEGA CRISTA LE
20833,100,OPALA/CARAVAN 80/87 AMBAR LD
20834,100,OPALA/CARAVAN 80/87 AMBAR LE
20835,100,OPALA/CARAVAN 80/87 CRISTAL LD
20836,100,OPALA/CARAVAN 80/87 CRISTAL LE
20837,100,OPALA/CARAVAN 88/92 AMBAR LD
20838,100,OPALA/CARAVAN 88/92 AMBAR LE
20839,100,OPALA/CARAVAN 88/92 CRISTAL LD
20840,100,OPALA/CARAVAN 88/92 CRISTAL LE
20841,100,VW
20842,100,GOL 87/90 AMBAR LD
20843,100,GOL87/90 AMBAR LE
20844,100,GOL87/90 CRISTAL LD
20845,100,GOL87/90 CRISTAL LE
20846,100,GOL 91/94 CRISTAL C L.D HT
20847,100,GOL91/94 CRISTAL C LE
20848,100,GOL 91/94 CRISTAL A L.D HT
20849,100,GOL 91/94 CRISTAL A L.E HT
20850,100,GOL 91/94 AMBAR C L.D HT
20851,100,GOL 91/94 AMBAR C L.E HT
20852,100,GOL 91/94 AMBAR A L.D HT
20853,100,GOL 91/94 AMBAR A L.E HT
20854,100,GOL 95.. CRISTAL C L.D
20855,100,GOL 95.. CRISTAL C L.E
20856,100,GOL 95.. CRISTAL A L.D
20857,100,GOL 95.. CRISTAL A L.E
20858,100,GOL 95.. AMBAR C L.D HT
20859,100,GOL 95.. AMBAR C L.E HT
20860,100,GOL 95.. AMBAR A L.D HT
20861,100,GOL 95.. AMBAR A L.E HT
20862,100,SANTANA 2000 L.D
20863,100,SANTANA 2000 L.E
20864,100,LENTE LANTERNA DIANTEIRA
20865,100,FIAT
20866,100,FORD
20867,100,GM
20868,100,VW
20869,100,M41700 FUSCA 1300/1500 AMBAR
20870,100,M41701 FUSCA 1300/1500 CRISTAL
20871,100,VW 1300/1500 FUME
20872,100,LANTERNA TRASEIRA
20873,100,FIAT
20874,100,147 TRICOLOR LD
20875,100,147 TRICOLOR LE
20876,100,UNO 84/04 TRICO L.D
20877,100,UNO 84/04 TRICO L.E
20878,100,UNO 84/04 FUME L.D
20879,100,UNO 84/04 FUME L.E
20880,100,UNO 04/11 BICOLOR L.D
20881,100,UNO 04/11 BICOLOR L.E
20882,100,UNO 04/11 FUME L.D
20883,100,UNO 04/11 FUME L.E
20884,100,UNO VIVACE 12... LD
20885,100,UNO VIVACE 12... LE
20886,100,FIORINO 04/09 BICOLOR LD
